BODIES
id, mass, x, y, Vx, Vy, moves
0, 1.989000e+30, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1
1, 5.972000e+24, 1.500000e+11, 0.000000e+00, 0.000000e+00, 2.985000e+04, 1
STEPSIZE: 8.640000e+04 sec
MOTION
timestep, id, x, y, Vx, Vy
117, 1, -6.571965e+10, 1.395784e+11, -2.708215e+04, -1.177193e+04
118, 0, 6.547002e+05, 5.055132e+05, 8.069816e-02, 1.262795e-01
118, 1, -6.805068e+10, 1.385424e+11, -2.687686e+04, -1.220792e+04
119, 0, 6.616450e+05, 5.164798e+05, 8.006088e-02, 1.275769e-01
119, 1, -7.036367e+10, 1.374690e+11, -2.666462e+04, -1.264003e+04
120, 0, 6.685338e+05, 5.275579e+05, 7.940292e-02, 1.288623e-01
120, 1, -7.265803e+10, 1.363584e+11, -2.644548e+04, -1.306814e+04
121, 0, 6.753649e+05, 5.387466e+05, 7.872454e-02, 1.301354e-01
121, 1, -7.493316e+10, 1.352110e+11, -2.621954e+04, -1.349216e+04
122, 0, 6.821365e+05, 5.500448e+05, 7.802599e-02, 1.313959e-01
122, 1, -7.718848e+10, 1.340271e+11, -2.598689e+04, -1.391196e+04
123, 0, 6.888469e+05, 5.614513e+05, 7.730750e-02, 1.326434e-01
123, 1, -7.942341e+10, 1.328072e+11, -2.574759e+04, -1.432746e+04
124, 0, 6.954944e+05, 5.729650e+05, 7.656934e-02, 1.338777e-01
124, 1, -8.163738e+10, 1.315516e+11, -2.550174e+04, -1.473854e+04
125, 0, 7.020773e+05, 5.845848e+05, 7.581178e-02, 1.350984e-01
125, 1, -8.382983e+10, 1.302606e+11, -2.524944e+04, -1.514511e+04
126, 0, 7.085939e+05, 5.963094e+05, 7.503508e-02, 1.363053e-01
126, 1, -8.600021e+10, 1.289347e+11, -2.499075e+04, -1.554707e+04
127, 0, 7.150425e+05, 6.081377e+05, 7.423951e-02, 1.374981e-01
127, 1, -8.814796e+10, 1.275742e+11, -2.472578e+04, -1.594431e+04
128, 0, 7.214216e+05, 6.200685e+05, 7.342535e-02, 1.386764e-01
128, 1, -9.027255e+10, 1.261797e+11, -2.445462e+04, -1.633675e+04
129, 0, 7.277296e+05, 6.321004e+05, 7.259287e-02, 1.398399e-01
129, 1, -9.237345e+10, 1.247515e+11, -2.417736e+04, -1.672429e+04
130, 0, 7.339649e+05, 6.442322e+05, 7.174236e-02, 1.409886e-01
130, 1, -9.445014e+10, 1.232900e+11, -2.389410e+04, -1.710684e+04
131, 0, 7.401259e+05, 6.564625e+05, 7.087411e-02, 1.421219e-01
131, 1, -9.650210e+10, 1.217956e+11, -2.360492e+04, -1.748431e+04
132, 0, 7.462112e+05, 6.687902e+05, 6.998840e-02, 1.432397e-01
132, 1, -9.852882e+10, 1.202689e+11, -2.330993e+04, -1.785661e+04
133, 0, 7.522192e+05, 6.812137e+05, 6.908553e-02, 1.443418e-01
133, 1, -1.005298e+11, 1.187102e+11, -2.300923e+04, -1.822366e+04
134, 0, 7.581485e+05, 6.937317e+05, 6.816581e-02, 1.454279e-01
134, 1, -1.025046e+11, 1.171201e+11, -2.270291e+04, -1.858537e+04
135, 0, 7.639975e+05, 7.063429e+05, 6.722952e-02, 1.464976e-01
135, 1, -1.044526e+11, 1.154989e+11, -2.239108e+04, -1.894166e+04
136, 0, 7.697650e+05, 7.190458e+05, 6.627698e-02, 1.475509e-01
136, 1, -1.063735e+11, 1.138472e+11, -2.207383e+04, -1.929246e+04
137, 0, 7.754495e+05, 7.318390e+05, 6.530848e-02, 1.485874e-01
137, 1, -1.082668e+11, 1.121654e+11, -2.175127e+04, -1.963767e+04
138, 0, 7.810496e+05, 7.447210e+05, 6.432435e-02, 1.496070e-01
138, 1, -1.101319e+11, 1.104541e+11, -2.142350e+04, -1.997724e+04
139, 0, 7.865641e+05, 7.576903e+05, 6.332489e-02, 1.506093e-01
139, 1, -1.119685e+11, 1.087136e+11, -2.109062e+04, -2.031109e+04
140, 0, 7.919915e+05, 7.707455e+05, 6.231042e-02, 1.515943e-01
140, 1, -1.137762e+11, 1.069445e+11, -2.075275e+04, -2.063913e+04
141, 0, 7.973307e+05, 7.838851e+05, 6.128125e-02, 1.525617e-01
141, 1, -1.155544e+11, 1.051474e+11, -2.040998e+04, -2.096131e+04
142, 0, 8.025803e+05, 7.971074e+05, 6.023772e-02, 1.535112e-01
142, 1, -1.173028e+11, 1.033227e+11, -2.006243e+04, -2.127756e+04
143, 0, 8.077392e+05, 8.104110e+05, 5.918012e-02, 1.544427e-01
143, 1, -1.190210e+11, 1.014709e+11, -1.971019e+04, -2.158782e+04
144, 0, 8.128061e+05, 8.237943e+05, 5.810881e-02, 1.553561e-01
144, 1, -1.207085e+11, 9.959258e+10, -1.935338e+04, -2.189201e+04
145, 0, 8.177798e+05, 8.372557e+05, 5.702409e-02, 1.562510e-01
145, 1, -1.223650e+11, 9.768823e+10, -1.899211e+04, -2.219007e+04
146, 0, 8.226593e+05, 8.507937e+05, 5.592630e-02, 1.571274e-01
146, 1, -1.239902e+11, 9.575840e+10, -1.862649e+04, -2.248196e+04
147, 0, 8.274433e+05, 8.644066e+05, 5.481577e-02, 1.579851e-01
147, 1, -1.255835e+11, 9.380362e+10, -1.825662e+04, -2.276760e+04
148, 0, 8.321309e+05, 8.780927e+05, 5.369283e-02, 1.588238e-01
148, 1, -1.271447e+11, 9.182443e+10, -1.788262e+04, -2.304696e+04
149, 0, 8.367209e+05, 8.918505e+05, 5.255781e-02, 1.596435e-01
149, 1, -1.286735e+11, 8.982138e+10, -1.750460e+04, -2.331996e+04
150, 0, 8.412124e+05, 9.056783e+05, 5.141105e-02, 1.604440e-01
150, 1, -1.301694e+11, 8.779501e+10, -1.712267e+04, -2.358657e+04
151, 0, 8.456042e+05, 9.195744e+05, 5.025289e-02, 1.612252e-01
151, 1, -1.316321e+11, 8.574590e+10, -1.673694e+04, -2.384673e+04
152, 0, 8.498956e+05, 9.335371e+05, 4.908366e-02, 1.619868e-01
152, 1, -1.330613e+11, 8.367458e+10, -1.634752e+04, -2.410039e+04
153, 0, 8.540854e+05, 9.475648e+05, 4.790369e-02, 1.627288e-01
153, 1, -1.344568e+11, 8.158163e+10, -1.595453e+04, -2.434752e+04
154, 0, 8.581729e+05, 9.616558e+05, 4.671334e-02, 1.634510e-01
154, 1, -1.358181e+11, 7.946761e+10, -1.555807e+04, -2.458806e+04
155, 0, 8.621571e+05, 9.758083e+05, 4.551293e-02, 1.641534e-01
155, 1, -1.371451e+11, 7.733310e+10, -1.515827e+04, -2.482198e+04
156, 0, 8.660371e+05, 9.900207e+05, 4.430282e-02, 1.648357e-01
156, 1, -1.384373e+11, 7.517866e+10, -1.475524e+04, -2.504924e+04
157, 0, 8.698122e+05, 1.004291e+06, 4.308333e-02, 1.654979e-01
157, 1, -1.396947e+11, 7.300488e+10, -1.434909e+04, -2.526980e+04
158, 0, 8.734815e+05, 1.018618e+06, 4.185482e-02, 1.661399e-01
158, 1, -1.409167e+11, 7.081233e+10, -1.393992e+04, -2.548362e+04
159, 0, 8.770443e+05, 1.032999e+06, 4.061763e-02, 1.667616e-01
159, 1, -1.421033e+11, 6.860160e+10, -1.352787e+04, -2.569068e+04
